id;street;zip;place
1;KAPELLENSTR 15-19;52066;AACHEN BURTSCHEID
2;STEINKAULPLATZ 12;52076;AACHEN KORNELIMÜNSTER
3;TRIERER STR 366;52078;AACHEN KRUMMERÜCK
4;ROERMONDER STR 325;52072;AACHEN LAURENSBERG
5;PETERSTR 46;52062;AACHEN MITTE
6;ADALBERTSTEINWEG 11-15;52070;AACHEN MITTE-ADALBERTSTEINWEG
7;KRONENBERG 155;52074;AACHEN MITTE-HANBRUCH
8;HEERLENER STR 30;52074;AACHEN MITTE-HÖRN
9;JÜLICHER STR 63;52070;AACHEN MITTE-JÜLICHER STRAßE
10;STRAUBINGER STR 42 (EKZ ABENSB;93326;ABENSBERG
11;FRIEDRICHSTR 39-41;28832;ACHIM (WESER)
12;UPHUSER HEERSTR 50;28832;ACHIM (WESER) UPHUSEN
13;LANGE STR 40-44;37139;ADELEBSEN
14;MARKT 1;53518;ADENAU
15;BLANKSCHMIEDE 2;31855;AERZEN
16;COESFELDER STR 68;48683;AHAUS
17;KIRCHSTR 18;48683;AHAUS ALSTÄTTE
18;HAUPTSTR 30;27367;AHAUSEN (NIEDERSACHSEN)
19;HAUPTSTR 49;59227;AHLEN VORHELM
20;BÜNTWEG 1;21702;AHLERSTEDT
21;HAUPTSTR 19;34292;AHNATAL HECKERSHAUSEN
22;MC-DONALD'S-STR 3;16356;AHRENSFELDE BLUMBERG (BARNIM)
23;STADTPLATZ 20;86551;AICHACH
24;HÄFNERSTR 23;72631;AICHTAL NEUENHAUS
25;HAUPTSTR 35;88319;AITRACH
26;KIRCHENGRABEN 6-8;72458;ALBSTADT EBINGEN
27;EBINGERTALSTR 52-56 (LUPUS-CEN;72459;ALBSTADT LAUTLINGEN
28;ALTE-TURMSTR 8;52457;ALDENHOVEN
29;HAUPTSTR 1;49594;ALFHAUSEN
30;AM RATHAUS 13;53347;ALFTER OEDEKOVEN
31;HAUPTSTR 232;53347;ALFTER WITTERSCHLICK
32;MARKTSTR 30;31191;ALGERMISSEN
33;HAFNERSTR 4;78476;ALLENSBACH
34;BAHNHOFSTR 65;52477;ALSDORF (RHEINLAND)
35;BLUMENRATHER STR 74-76;52477;ALSDORF (RHEINLAND) MARIADORF
36;HAUPTSTR 35;67821;ALSENZ
37;SAALEPLATZ 5;6425;ALSLEBEN (SAALE)
38;BAHNHOFSTR 26;3229;ALTDÖBERN
39;HOLZGERLINGER STR 18;71155;ALTDORF (BEI BÖBLINGEN)
40;AM STAPEL 2-14 (STAPEL-CENTER);58762;ALTENA
41;LENNESTR 68-78;58762;ALTENA
42;BERGFELDER WEG 24;58762;ALTENA BREITENHAGEN
43;BREITE STR 4;38707;ALTENAU (HARZ)
44;DRESDNERSTR 11;1773;ALTENBERG (ERZGEBIRGE)
45;GERAER STR 72-76 (OSTERLANDCEN;4600;ALTENBURG
46;OSTPREUßENPLATZ 5;24161;ALTENHOLZ STIFT
47;WILHELMSTR 11-13;57610;ALTENKIRCHEN (WESTERWALD)
48;BAHNHOFSTR 30;72213;ALTENSTEIG
49;GRÜNER GANG 1A;17087;ALTENTREPTOW
50;HAUPTSTR 12-14;75382;ALTHENGSTETT
51;BERLINER ALLEE 37D;15345;ALTLANDSBERG
52;HAUPTSTR 55;68804;ALTLUßHEIM
53;NEUSORGER STR 30;9648;ALTMITTWEIDA
54;BAHNHOFSTR 7;83123;AMERANG
55;BAHNHOFSPLATZ 4;90614;AMMERNDORF (MARKT)
56;BAHNHOFSTR 16;56626;ANDERNACH
57;BERLINER STR 65-67;16278;ANGERMÜNDE
58;GRUNDMÜHLENWEG 13;16278;ANGERMÜNDE
59;ALTE DORFSTR 7;39326;ANGERN
60;HAUPTSTR 21;76855;ANNWEILER AM TRIFELS
61;HAUPTSTR 129;26689;APEN
62;BUXTEHUDER STR 13;21641;APENSEN
63;LEUTLOFFSTR 44;99510;APOLDA
64;EEKHOFF 1;25482;APPEN
65;AUF DEM KUMPE 4;59757;ARNSBERG HERDRINGEN
66;VOßWINKELER STR 9;59757;ARNSBERG VOßWINKEL
67;MARKTPLATZ 10;94424;ARNSTORF (MARKT)
68;ALTE POSTSTR 2;6556;ARTERN/UNSTRUT
69;BURCHARDTSTR 28;63741;ASCHAFFENBURG DAMM
70;LUDWIGSTR 9;63739;ASCHAFFENBURG STADTMITTE
71;KAMPENWANDSTR 26;83229;ASCHAU IM CHIEMGAU
72;OBERSTR 50;6449;ASCHERSLEBEN
73;ERDINGER STR 1;85609;ASCHHEIM
74;MERGENTHEIMER STR 7;97959;ASSAMSTADT
75;AM KLEINEN GRABEN 1;57439;ATTENDORN
76;KAMPSTR 38;57439;ATTENDORN
77;SCHWARZENBERGER STR 7 (NICOLAI;8280;AUE (SACHSEN)
78;UNTERER MARKT 6;91275;AUERBACH (OBERPFALZ)
79;REUMTENGRÜNER STR 39;8209;AUERBACH (VOGTLAND)
80;HOLZWEG 55;86156;AUGSBURG BÄRENKELLER
81;VIKTORIA-STR 3-9 (FUGGERSTADT-;86150;AUGSBURG INNENSTADT
82;JAKOBERSTR 20;86152;AUGSBURG INNENSTADT
83;DONAUWÖRTHER STR 153;86154;AUGSBURG OBERHAUSEN-NORD
84;EBERLESTR 2;86157;AUGSBURG PFERSEE
85;BACHSTR 5-9;883;AULENDORF
